review,division
alexa quit irritate understand comands but ok robot hope new update will make accurate buy sale value money product get alexa wipro bulb happy service also,positive
alexa quite comfortable,positive
alexa really dosent hear clearly understand exactly give reply misinterpretting things,positive
alexa really smart,positive
alexa recognition worstalex doesnt recognize play wrong,negative
alexa skills limit many available us not available india,positive
alexa smart,positive
alexa speaker good but alexa android application not good alexa listen skill also not accurate,positive
alexa still grow become better understand could get better if alexa cant understand device talk would better if stop say mean tv,positive
alexa stop work within one month replace no call,neutral
alexa super,positive
alexa super quality,positive
alexa sw better conversational upgrade cant link youtube mobil reason need one click equivalent skills,positive
alexa take much time try connect wifi bluetooth device,positive
alexa u never ever feel alone interact alexa tons things like listen music news weather forecast many alexa hindi many good funny responses kind become routine talk alexa sound quality will say star sound quality amaze fill room easily,positive
alexa unable identify songs place time get negative response unavailability request seem waste product melooking replacement device seem access limit resourcesound alexa need improvisation,negative
alexa upgrade time time,neutral
alexa useful schedule listen newsbut concern speaker low sound eg not hearable another,positive
alexa user interface nice get information one voice command music options less interface youtube songs ganna app etc,positive
alexa voice assistant will never understand command say dont ever buy reason promote amazon google home well look well perform task jeff bezos turd review applicable alexa devices,neutral
alexa voice awsm really feel awsm talk alexagrt purchase if wnybody want buy smart speaker go blindly choose grt one,negative
alexa voice not work,neutral
alexa voice recognition pretty good well integrate devices sound quality also good easy use,positive
alexa voice recognition quality good sound quality good excellent product amazon,positive
alexa wonderful ausome sound quality great music time kind funny u use hindi language great fun,positive
alexa wonderful concept but could see limitations couldnt recognize instructions play songs doesnt play old tamil songs,positive
alexa work fine good product google home moni,positive
alexa work good give information right way,positive
alexa work properly,neutral
alexa worst product if say alexa mosquito repellent start say find referencecom etc waste money,negative
alexabest eperience ever,neutral
alexas sound doesnt good play netflix prime otherwise good,positive
alexq gen smart speaker goodthere slight delay recognize voiceotherwise good product thank amazonhoped will fix future update,positive
alk three voice recognition alexa integration sound quality areexcellent,positive
alla average performance,negative
almost goodbut cant connect iphone hotspot alexawhysolution pleasethank amazonits apps show generation,neutral
almost month no issue till date good connectivity smart devices,positive
already become part family,neutral
already google assisatant voice recognition shouldnt much deal alexa need plug conected wifi network function alexa if no wifi act bluetooth speaker sound qualitu pretty good alexa alexa isnt much fun think,positive
already oneand order another dealreally great product,positive
always connectivity issue customer care people not able help,negative
always like items home,neutral
always need wire begin one must connect android phone,neutral
always say invalid password connect android samsung devices however work ios devices share screenshot amazon team but barely reply highly disappoint,negative
always will connect issue,neutral
amaze,positive
amaze,positive
amaze,positive
amaze,positive
amaze,positive
amaze,positive
amaze,positive
amaze addition smart gadget,positive
amaze alexa,positive
amaze alexa,positive
amaze awesome ai speaker alexa mind blow voice recognition good speak quality thank amazon,positive
amaze cant tell nice use since year love,positive
amaze device,positive
amaze device worth every penny gen version masterpiece,positive
amaze feature round performance good stuff bring amazon,positive
amaze feel day use will review days,positive
amaze gift wife,positive
amaze if look something budget satisfy requirements speaker along proper voice integration recognition go blindly,positive
amaze interest goodi like,positive
amaze love quality sound experience thankyou amazon,positive
amaze mom fell love thisbut could improve music service could add like youtube music spotify etc,positive
amaze performance,positive
amaze piece equipment,positive
amaze pretty useful,positive
amaze product,positive
amaze product,positive
amaze product,positive
amaze product,positive
amaze product,positive
amaze product,positive
amaze product,positive
amaze product alexa eco dotit will realy connect homesit excelent product coustmers,positive
amaze product alexa understand almost command mom also able operate use hindi version,positive
amaze product alexa will follow command say,positive
amaze product amaze feature apart sound really good good kid well simply paisa wusool,positive
amaze product amazon coustomer support goodif problem solve imidiatly,positive
amaze product amazon good person house,positive
amaze product amazon thank much must buy,positive
amaze product amazonbluetooth connectivitysound quality everything best,positive
amaze product cheap n work like awesome maestro must buy product grow kidbetter give alexa not phone,positive
amaze product convenient must device if want lead smart hassle free life strongly recommend thank amazon,positive
amaze product daughter want alexa happy m rat use months fabulous product m speechless must guy helpful funny entertain math solver funny game joke horror stories normal stories easy setup different languages volume good low high etc must buy thnx amazon geourgeous product,positive
amaze product especially integration google calendar tons skills play around though hop will better software update butits bang product price buy wipro bulb echo dot together return wipro bulb get back get alexa truely bang smart assistant bluetooth speaker,positive
amaze product essy use must buy,positive
amaze product get festival sale value money,positive
amaze product get one smart bulb,positive
amaze product go but one con if buy play songs plzz dont sound quality not great but good but dont worry connect speakers sub woofer alexa via aux bluetooth last thing wan na say amaze even play game alexa like kbc wheel fun many thankyou read review,positive
amaze product good package get deliver time,positive
amaze product good sound quality clarity easy configure use,positive
amaze product great price thank u amazon deal,positive
amaze product like friend need knowledgeable perfect sound quality take bite time connect smart devices owners delight,positive
amaze product like member family,positive
amaze product lot alexa enable products market will make alexa experience amaze sound quality superb normal size room,positive
amaze product love,positive
amaze product love product drawback work plug,positive
amaze product multipurpose use,positive
amaze product never miss opportunity impress fun happy time echo,positive
amaze product nice clear voice,positive
amaze product price tag buy prime day deal get already echo device bigger one two parent inlaws super happy excite anyone look gift something nice near one get,positive
amaze product thankyou amazon,positive
amaze product voice recognition good play exactly need,positive
amaze product will love,positive
amaze product work amazingly could control lead light voice command,positive
amaze product work like charm love experience if kid home gon na treat watch speak alexaspeaker quality adequate std size room bass effective good buy,positive
amaze sound clarity work flawlesslyjust go itgot great deal syska lead smart wifi bulba mindblowing deal,positive
amaze sound quality speaker size great voice recognitiondidnt expect good bass,positive
amaze sound quality voice recognition go guy u wont regret,positive
amaze sound small speaker easy connectivity,positive
amaze think,positive
amaze use smart bulbs automation utilities but term play music lack punch audio quality price,positive
amaze value money,positive
amaze voice recognize product good sound quality,positive
amazingbut little bite discrepancies ie sound not sharp clear difficult pair sony bravia smart tv,positive
amazingfull pesa vasool sound quality best voice recognition clear bestwow,positive
amazingi love product,positive
amazinng,neutral
amazon alexa best,positive
amazon alexa echo dot best product easy use amaze good sound quality light weight handle,positive
amazon alexa good choice,positive
amazon alexa useful product smart home work smart assistant,positive
amazon become synonymous excellent quality buy great indian sale echo dot generation mind blow super voice recognition amaze response usual product quality delivery amazon excellent,positive
amazon echo dot gen best term hardware amaze sound quality proper balance base mids treble yes configure alexa app if youd likenext build quality really good feel firm bluetooth wifi connectivity awesome best part connect phone laptop use external speakerthe downside alexa need lot improvement term knowledge basic things carry pretty well like reminders alarm music etc however come answer question fail timetip keep add skills alexa app improvement,positive
amazon echo dot gen work expect extent think not buy next gen video,negative
amazon echo dot genexcellent voice qualitygood product use,neutral
amazon echo dot good product able understand voice command sound quality goodbought amazon salewas actually look blue tooth speaker sale come upand saw dot salepaid work fine far con work plug power outlet no battery backup,positive
amazon echo dot truly great product true smartness job extremely well impressive sound quality portable device easy handle completely satisfy,positive
amazon eco dot worth buy coz plug anywhere want easy use download alexa app connect device app also good sound quality,positive
amazon please replace product,neutral
amazon prime membership not give suggest time order,neutral
amazon prime recharge compulsory one years,neutral
amazon prime subscription instant good result command if best buy,positive
amazon product always good,positive
amazon product bro will always good,positive
amazon products worst term software one doesnt understand word time even if will play random music instead one ask,negative
amazon think customers foolsno proper customer service,neutral
amazon update devices enable use open wi fi hor spot otherwise may need dedicate wifi router always available mobile phone if go down alexa go down stick network let use open wifi,positive
amezing product,neutral
amezon acho dot products good,positive
amozons amaze product love,positive
amzon give combo offer echo dot smart bulbfor but amazon cancel echo andthet send wipro smart bulbfor rsbalance rs will credit work days dont know worst sell concept sell product,negative
another great product amazon kid enjoy lot itlots skills fun,positive
answer not find device,neutral
anybody try use echo dot external speaker tv,neutral
anytime companion,neutral
app buggy non responsive make harder integrate echo dot isnt responsive efficient also voice recognition answer sometimes not mark,negative
app integration make less user interactions,negative
app not available play store use qatar u say use qatar but,negative
arrive bundle wipro smart bulb doesnt connect voice recognition worse claim hear another roomits myth even doesnt hear m away although alexa play music amazon prime music unless specify spotify apple music,negative
arrive fast good condition sound clear compare mobile speakersthe alexa app google play bugsi reinstall alexa app change wake word usefulhelps save timeonly concern privacynote even mute button not stop recordingonly way turn off switch safeguard privacy important conversations not use,positive
artificial intelligence awesome recognise almost everything english hindi language,positive
audio,neutral
audio not clear,negative
audio put alexa super but bluetooth poor audio,negative
audio quality good enough much fun interact,positive
audio quality really nice compare size speaker mostly use listen classic songssongs play incorrectly time unless alexa not give specific keywords song check googleconnecting home devices like light tv switch off doesnt make sense pairall speaker not upto expectations google way way better,positive
ausome good,positive
automatically switch off moment,neutral
aux give back side not work,neutral
average,negative
average,negative
average,negative
average,negative
average product not good expect,negative
average proformbut good,positive
await finally recieved super excite,positive
awesome,positive
awesome,positive
awesome,positive
awesome,positive
awesome,positive
awesome,positive
awesome,positive
awesome,positive
awesome,positive
awesome,positive
awesome,positive
awesome,positive
awesome,positive
awesome,positive
awesome,positive
awesome,positive
awesome,positive
awesome,positive
awesome,positive
awesome alexa echo dot excite open dream come true awesome experience sound quality n voice recognition good love u alexa,positive
awesome bass sound quality,positive
awesome but one thing miss google skill due time say dont know case search something difficult thing otherwise feature great,positive
awesome buy amazon sale along wifi smart bulb worth,positive
awesome deal everyone must buy,positive
awesome device,positive
awesome device amaze sound great bluetooth connectivity thank lot amazon voice recommendedhare krishna,positive
awesome device but miss inbuilt battery,positive
awesome device but need improvement,positive
awesome device but not local information provide useful songs control smart devices,positive
awesome device must purchase,positive
awesome experience hat off amazon,positive
awesome friend helper love,positive
awesome get new friend,positive
awesome go,positive
awesome innovative product amazon recommend everyone one home,positive
awesome instrument house alexa friend year old son,positive
awesome intelligent product,positive
awesome kid njoy listen songs alexa,positive
awesome love alexa,positive
awesome music quality good if dont prime membership set gaana default music service alexa app listen music without ads,positive
awesome must buyworth money,positive
awesome one become family member really helpful kid love,positive
awesome product,positive
awesome product,positive
awesome product,positive
awesome product,positive
awesome product,positive
awesome product,positive
awesome product,positive
awesome product,positive
awesome product,positive
awesome product,positive
awesome product,positive
awesome product,positive
awesome product alexa,positive
awesome product alexa echo generation,positive
awesome product amazon,positive
awesome product amazon,positive
awesome product amazon alexa friend kid,positive
awesome product amozon,positive
awesome product better expectation,positive
awesome product buy itif find good blurtooth speaker voice controler buy product,positive
awesome product cool feature ai love,positive
awesome product easy handle good quality sound,positive
awesome product go,positive
awesome product good quality,positive
awesome product quality good,positive
awesome product say,positive
awesome product sound quality good,positive
awesome product sound quality good work bluetooth speaker,positive
awesome product sound quality nice alexa definitely entertain us love product,positive
awesome product thank amazon,positive
awesome productalexa understand everything,positive
awesome producti like itgood buy,positive
awesome productinteraction quality s great work like bluetooth speaker wifi not available but not make disappointmentbut overall impressive product,positive
awesome productmy kid much like lean new things,positive
awesome products help everything,positive
awesome productsound quality excellentvoice recognition also goodif look good smart speaker go itthe thing need good internet connection thats,positive
awesome productsound quality good,positive
awesome quality voice fast integration,positive
awesome response everything,positive
awesome smart speaker,positive
awesome sound carity simple use like childs,positive
awesome sound quality,positive
awesome sound quality,positive
awesome sound quality get great deal price sale,positive
awesome sound quality good product,positive
awesome sound quality however limit ai database responses limit worth buy if look limit interactions,positive
awesome useless depend use pros conspros like come jio saavn hungama music gaanabut not multi tasker likeif command play song vol will reply sorry dont know no song name songs name vol but love,positive
awesome worthyyou wont get bass like woofer but yoh wont regret take awesome voice recognition,positive
awesomesound,neutral
awesomethere many things device make wonder cheapi get smart bulb device rsnow control bluetooth speaker tvfirestick bedroom light voice commandsthis fun years old kid alexa tell stories himthe voice recognition good proof even kid command alexa recognise,positive
awesum,neutral
awsm product love feel great someone obey command,positive
awsm sound awsm clarityevrythng awsm thisno one cn beat,positive
awsome,neutral
awsome device gift friend alexa inbuilt support voice everything totaly cool price,positive
awsome easy use nice love alexa,positive
awsome love package good easy connect bulb life easy,positive
baby like alexa much buy itshe enjoy,positive
bad,negative
bad,negative
bad baf,negative
bad can not connect internet always bore product waana send back u,negative
bad damage product receive cant able connect customer service,negative
bad device always play wrong song spotify really mess head,negative
bad didnt ply odia lovable song want dont buy product google home mini smart generation good,positive
bad experience,negative
bad not good,negative
bad product,negative
bad product doesnt listen command,negative
bad product mostly elexa not understand commanduseless software,negative
bad product not work properly,negative
bad product worst product buy life worst dont youtube music itamazon spotify cant play good music youtube,negative
bad productits not portable,negative
bad produt amazon,negative
bad quality alexa product like local speaker sound product light alsobad experience product,negative
bad quality old send also make chaina,negative
bad quality product supply highly disappoint time doesnt work poor connectivity also sound quality bad blurr bad quality products supply amazon,negative
bad sound quality,negative
bad sound quality not adequate bass sound clarity poor,negative
bad speakers music quality terrible spy amazon supply behaviour voice data gigantic surveillance machine amazon,negative
badit stop work days want return but dont find option,neutral
bakwas,neutral
bakwas h ek number ki,neutral
bass full sound,positive
bass good small roomskills also powerfulvoice recognition standardall video,positive
batary not charge felt give use product not new,negative
battery,neutral
battery inbuilt would much better,positive
battery include hoti best hota,positive
battery not avilable will purchase battery,neutral
beautiful good sound quality,positive
beautiful product,positive
bed quality,neutral
begin amaze later im use music news nothing elseits quite handy if want know something quickly,positive
begin could not connect phone echo dot put remark onlinereceived help call centrei connect echo dot successfully alexa blue tooth speakerit work fine,positive
bejos ki paidayish play well,neutral
believe need get better voice recognition accent india people cant say word clearly ai improve,positive
best,positive
best,positive
best,positive
best,positive
best,positive
best,positive
best,positive
best,positive
best,positive
best,positive
best,positive
best,positive
best,positive
best ai device amazon,positive
best ai device get,positive
best ai ever usedsound quality damn cooli order alexa hall bedroom yet listen dont judge big areamost favorite part order mom think waste money talk talk mei order alexa diwali sale receive along smart wifi bulb make interest look buy smart stuff connect alexa,positive
best amazon product nice easy use helpful,positive
best app,positive
best awesome,positive
best best price,positive
best but google home better,positive
best buy alexa best,positive
best buy convert home smart home,positive
best buy u try big size good good voice recognization best sound quality special featuresit smartand want long time next will buy echo dot generation,positive
best class go,positive
best class nice responsive device build good speakers nice,positive
best companion smart home,positive
best device,positive
best device recognition voice perfect,positive
best echo dot device compare previous gen devices voice clarity crisp loud recommend product,positive
best entertainment,positive
best experience alexaawesome sound qualitybest integrationbutno battery storage facilitieswhen off internet thing not integrate anything like time bluetooth connectionalarm if may possible get better experiencebut work goodbuild qulity awesomecommanding goodtotaly good experience,positive
best fair price,positive
best friend alexa,positive
best friend alexagood clear voice keep talk response immediately,positive
best gadget,positive
best gadget india get colour tv,positive
best gadget make smart home,positive
best good quality product,positive
best home usable device entertainment if think buy not im sure will get thrill enjoy buy also think but buy rs discount period wait buy go price rs belowcurrently rs but wait im sure will go down rs within month wait check regularly price product check daily atleast onceif think buy google home mini dont buy ive experience echo dot thousand time better google home mini dont recogine voice well cant perform ecommercial play game activities,positive
best market,positive
best market family love play best kid fun operate,positive
best n best,positive
best one,positive
best part alexa hear low tone say alexa good go command never aspect type ai provide amazon happy purchase totally worth,positive
best part if connect home appliances kid enjoy lot,positive
best price quite soothe voice listen but sometimes irritate lack information available,positive
best product,positive
best product,positive
best product,positive
best product,positive
best product,positive
best product,positive
best product,positive
best product,positive
best product amazon,positive
best product amazon home use childrens study purpose usage right direction will limitless possibility device,positive
best product awesome quality thank u amazonyou watch full review amazon echo dot generation smart speaker youtube channel techie akc bros detail visit youtube channel,positive
best product get amazon live echo dot really worth get offer smart bulp also love amazon,positive
best product get year totally worth get amaze price amazon sale music news control smart home devices indeed best smart speaker market,positive
best product go easy routine kid will also enjoy,positive
best product many time think bless amazon give service time,positive
best product tank u amazon first delivery,positive
best purchase ever,positive
best quality,positive
best quality product voice recognition superb,positive
best range better google home,positive
best reliable but feel shouldnt wire connect time operate,positive
best rs spend evergreat device,positive
best send,positive
best smart speaker,positive
best smart speaker,positive
best smart speaker acceptable quality soundcan use bluetooth speaker offlineoverall great productthanks amazon,positive
best smart speaker buy get good price amazon great indian festival get around rs along smart lead buldpros good build quality superb amaze audio good audio songs collection help various smart task like control smart light homecons not portable like bluetooth speaker require power internetoverall satisfy product recommend if someone look smart speaker good sound quality,positive
best smart speaker family really enjoy lot alexa thank amazon,positive
best smart speaker go itreview use weeks,positive
best smart speakerit good sound decent bass alexa rock,positive
best smart speakers evermy months kid start say aexa aexain kid tone,positive
best sound,positive
best sound base give five,positive
best soundbeautiful colour design power adapter easy use install alexa app phone best product amazon,positive
best speaker but not wireless volume down,positive
best speaker everloved,positive
best speaker tha ai intelligent love product thank u amazon beautiful product,positive
best thing ever bring,positive
best thing home assistant,positive
best thing take daughters birthdayall t happy alexa,positive
best tym paas,positive
best voice recognition decent sound good quality small speaker,positive
besttt product,neutral
better ai google home,positive
better best smart speaker good quality sound,positive
better but improvements need,positive
better competitors,positive
better device connectivity though sound quality awesome,positive
better get advance version,positive
better go google home cannnot makeaccept phone call alexa call can not place order prime connect samsung smart tv via smart things skill basic control like onoffvolume controltechnical customer care not good support issuefree wipro smart light isnt really smartonce power resume power cut need switch off via appalexaonly worthy use echo unlimited music amazon music,positive
better google,positive
better google mini buy dont think twice amazon give good option return within days full refund,positive
better obident device better experiencebetter cost money,positive
better speakersmust buy,positive
better wake siri google assistantmuch faster nd accurate otherloved itsound quality beyond imaginationif no budget issue go generation otherwise generation also good one,positive
bhot hard bhot hard,negative
biggest disadvantage speaker stop work plug off socket otherwise everything else good,positive
bite suprised lpud speaker voice recognition good fan full speedtried use rca aux connect old sony bluray allow play songs phone old sony but frankly audio could way louder clearerthe wipro smart bulb work without issue,positive
blue tooth connectivity poor quality volume bad want return but miss window return days,negative
